GENE,"PATHWAY Z-SCORE
"
IGHV1-50,"0.4417660917519294
"
IGHV1-49,"0.4417660917519294
"
IGHV13-2,"0.4417660917519294
"
IGHV1-19,"0.4417660917519294
"
IGHV1-18,"0.4417660917519294
"
IGHV1-15,"0.4417660917519294
"
IGHV1-22,"0.4417660917519294
"
CMTM3,"0.4417660917519294
"
IGHV1-62-3,"0.4417660917519294
"
IGHV11-2,"0.4417660917519294
"
IGHV15-2,"0.4417660917519294
"
NFAM1,"0.4417660917519294
"
HRG,"0.4417660917519294
"
PQBP1,"0.4417660917519294
"
BCL10,"0.4417660917519294
"
C1S1,"0.4417660917519294
"
C1RA,"0.4417660917519294
"
CD276,"0.4417660917519294
"
SKINT10,"0.4417660917519294
"
FYB2,"0.4417660917519294
"
NFATC2,"0.4417660917519294
"
BTN2A2,"0.4417660917519294
"
IGHV1-9,"0.4417660917519294
"
MGI:3648045,"0.4417660917519294
"
THEMIS3,"0.4417660917519294
"
MGI:2685746,"0.4417660917519294
"
C3AR1,"0.4417660917519294
"
P01809,"0.4417660917519294
"
ACOD1,"0.4417660917519294
"
CBLB,"0.4417660917519294
"
RAB29,"0.4417660917519294
"
THEMIS,"0.4417660917519294
"
POLR3C,"0.4417660917519294
"
MPTX2,"0.4417660917519294
"
MASP2,"0.4417660917519294
"
CYLD,"0.4417660917519294
"
SKINT11,"0.4417660917519294
"
CLEC2I,"0.4417660917519294
"
IFI214,"0.4417660917519294
"
ICOSL,"0.4417660917519294
"
