,Gene,Z-Score
488,Clec2d,0.698921808
489,Clec2g,-0.586856773
490,Clec2i,0.441766092
491,Clec4a2,-0.586856773
492,Clec4b2,-0.329701057
493,Clec4d,0.184610375
494,Clec4e,-0.072545341
495,Clec4f,-0.84401249
496,Clec4g,1.470388957
497,Clec4n,1.470388957
498,Clec5a,-0.586856773
499,Clec7a,-0.329701057
500,Clnk,1.984700389
501,Clpb,-0.586856773
502,Clptm1,-0.586856773
503,Clu,-0.84401249
504,Cmklr1,0.441766092
505,Cmtm3,0.441766092
506,Cmtm7,-0.84401249
507,Cmtr1,-0.287447317
508,Cnn2,-0.84401249
509,Cnot4,-0.586856773
510,Cnot6,3.527634687
511,Cnot7,-0.072545341
512,Cnpy3,-0.586856773
513,Cnr1,0.441766092
514,Cnr2,-0.586856773
515,Coch,0.441766092
516,Col24a1,-0.84401249
517,Col3a1,-0.072545341
518,Colec11,0.441766092
519,Colec12,-0.586856773
520,Coro1a,-0.072545341
521,Cotl1,-0.586856773
522,Cplx2,-0.586856773
523,Cpne5,"-0.234832691, -0.704399392, -0.656180124"
524,Cr1l,1.727544673
525,Cr2,1.727544673
526,Cracr2a,-0.586856773
527,Crcp,-0.586856773
528,Creb1,-0.329701057
529,Creb3,0.184610375
530,Crhr1,1.213233241
531,Crip2,-0.84401249
532,Crip3,-0.84401249
533,Crk,0.698921808
534,Crkl,0.441766092
535,Crlf2,-0.072545341
536,Crp,0.441766092
537,Crtam,1.984700389
538,Crtc3,-0.84401249
539,Cryaa,"-0.287447317, -0.1441027, 0.151555425"
540,Csde1,3.527634687
541,Csf1,-0.072545341
542,Csf1r,-0.072545341
543,Csf2,-0.586856773
544,Csf3,-0.329701057
545,Csf3r,-0.586856773
546,Csk,0.441766092
547,Cst11,-0.586856773
548,Cst7,-0.329701057
549,Cst9,-0.586856773
550,Cstdc2,-0.586856773
551,Ctc1,-0.84401249
552,Ctla2a,-0.586856773
553,Ctla4,0.441766092
554,Ctnnb1,-0.586856773
555,Ctnnbip1,-0.329701057
556,Ctnnbl1,-0.84401249
557,Ctps,-0.84401249
558,Ctr9,-0.586856773
559,Cts3,-0.586856773
560,Cts6,-0.586856773
561,Cts7,-0.586856773
562,Cts8,-0.586856773
563,Ctsc,-0.072545341
564,Ctse,-0.84401249
565,Ctsg,0.441766092
566,Ctsh,-0.072545341
567,Ctsj,-0.586856773
568,Ctsk,-0.586856773
569,Ctsl,-0.586856773
570,Ctsll3,-0.586856773
571,Ctsm,-0.586856773
572,Ctsq,-0.586856773
573,Ctsr,-0.586856773
574,Ctss,-0.586856773
575,Cuedc2,-0.329701057
576,Cul4a,-0.586856773
577,Cx3cl1,-0.072545341
578,Cx3cr1,0.441766092
579,Cxadr,-0.586856773
580,Cxcl1,1.470388957
581,Cxcl10,-0.072545341
582,Cxcl11,-0.586856773
583,Cxcl12,-0.072545341
584,Cxcl13,-0.072545341
585,Cxcl14,-0.072545341
586,Cxcl15,-0.586856773
587,Cxcl16,-0.586856773
588,Cxcl17,-0.329701057
589,Cxcl2,-0.586856773
590,Cxcl3,-0.586856773
591,Cxcl5,0.441766092
592,Cxcl9,-0.586856773
593,Cxcr1,-0.586856773
594,Cxcr2,-0.072545341
595,Cxcr3,-0.329701057
596,Cxcr4,-0.586856773
597,Cxcr5,-0.586856773
598,Cxcr6,-0.586856773
599,Cyba,0.441766092
600,Cybb,-0.586856773
601,Cybc1,-0.586856773
602,Cyld,0.441766092
603,Cyp19a1,-0.586856773
604,Cyp26b1,-0.586856773
605,Cyp27b1,-0.586856773
606,Cyp2c66,-0.84401249
607,Cyp4f13,"3.711264244, -0.323183503, 0.395577739"
608,Cyp4f14,"2.974659483, -0.418593687, -0.438487681"
609,Cyp4f15,"-0.076988813, -0.218168957, -0.475050248"
610,Cyp4f16,"-0.445291194, 1.986512413, -0.862014656"
611,Cyp4f17,-0.445291194
612,Cyp4f39,"-0.445291194, -0.63876426, -0.838973925"
613,Cyp4f40,"-0.445291194, -0.395014788, -0.849027304"
614,Cyp4f41-ps,"4.237410502, 0.292006222, -0.983715158"
615,Cyp7b1,-0.84401249
616,Cyrib,3.527634687
617,Cysltr1,-0.586856773
618,D6Wsu163e,0.956077524
619,DDR1,-0.527478087
620,DHX16,0.782535286
621,DNAH8,0.782535286
622,Dab2,-0.84401249
623,Dab2ip,-0.586856773
624,Dact2,-0.84401249
625,Dapk1,-0.586856773
626,Dapk2,-0.329701057
627,Dapk3,-0.586856773
628,Dbh,-0.84401249
629,Dbnl,-0.586856773
630,Dcaf1,-0.84401249
631,Dcaf15,-0.586856773
632,Dclre1c,-0.586856773
633,Dcst1,-0.072545341
634,Dcstamp,-0.329701057
635,Ddias,-0.84401249
636,Ddit4,-0.586856773
637,Ddost,-0.84401249
638,Ddr1,"-0.234832691, 2.619315362, -0.904736328"
639,Ddt,-0.586856773
640,Ddx1,0.956077524
641,Ddx17,-0.586856773
642,Ddx21,0.956077524
643,Ddx3x,-0.586856773
644,Ddx41,-0.586856773
645,Ddx58,1.213233241
646,Ddx60,0.441766092
647,Defa-rs10,-0.586856773
648,Defa-rs12,-0.586856773
649,Defa-rs2,-0.586856773
650,Defa-rs4,-0.586856773
651,Defa1,-0.586856773
652,Defa10,-0.586856773
653,Defa11,-0.586856773
654,Defa12,-0.586856773
655,Defa13,-0.586856773
656,Defa14,-0.586856773
657,Defa15,-0.586856773
658,Defa16,-0.586856773
659,Defa17,-0.586856773
660,Defa2,-0.586856773
661,Defa20,-0.586856773
662,Defa21,-0.586856773
663,Defa22,-0.586856773
664,Defa23,-0.586856773
665,Defa24,-0.586856773
666,Defa25,-0.586856773
667,Defa26,-0.586856773
668,Defa27,-0.586856773
669,Defa28,-0.586856773
670,Defa29,-0.586856773
671,Defa3,-0.586856773
672,Defa30,-0.586856773
673,Defa31,-0.586856773
674,Defa34,-0.586856773
675,Defa35,-0.586856773
676,Defa37,-0.586856773
677,Defa38,-0.586856773
678,Defa39,-0.586856773
679,Defa4,-0.586856773
680,Defa40,-0.586856773
681,Defa41,-0.586856773
682,Defa42,-0.586856773
683,Defa5,-0.586856773
684,Defa6,-0.586856773
685,Defa7,-0.586856773
686,Defa8,-0.586856773
687,Defa9,-0.586856773
688,Defb1,-0.586856773
689,Defb10,-0.586856773
690,Defb11,-0.586856773
691,Defb12,-0.586856773
692,Defb13,-0.586856773
693,Defb14,-0.586856773
694,Defb15,-0.586856773
695,Defb18,-0.586856773
696,Defb19,-0.586856773
697,Defb2,-0.586856773
698,Defb20,-0.586856773
699,Defb22,-0.586856773
700,Defb25,-0.072545341
701,Defb29,-0.586856773
702,Defb3,-0.586856773
703,Defb30,-0.586856773
704,Defb33,-0.586856773
705,Defb34,-0.586856773
706,Defb35,-0.586856773
707,Defb36,-0.586856773
708,Defb37,-0.586856773
709,Defb38,-0.586856773
710,Defb39,-0.586856773
711,Defb4,-0.586856773
712,Defb40,-0.586856773
713,Defb41,-0.586856773
714,Defb42,-0.586856773
715,Defb43,-0.586856773
716,Defb46,-0.586856773
717,Defb47,-0.586856773
718,Defb48,-0.586856773
719,Defb5,-0.586856773
720,Defb50,-0.586856773
721,Defb6,-0.586856773
722,Defb7,-0.586856773
723,Defb8,-0.586856773
724,Defb9,-0.586856773
725,Dennd1b,3.527634687
726,Dgkz,0.441766092
727,Dh,-0.84401249
728,Dhps,-0.329701057
729,Dhrs7b,-0.84401249
730,Dhtkd1,-0.84401249
731,Dhx16,"-0.129603439, -0.280781036, -0.865778665"
732,Dhx36,0.956077524
733,Dhx58,0.698921808
734,Dhx9,0.441766092
735,Dicer1,-0.329701057
736,Dlg1,-0.329701057
737,Dlg5,-0.586856773
738,Dlk1,-0.329701057
739,Dll1,-0.329701057
740,Dll4,-0.84401249
741,Dmbt1,-0.586856773
742,Dmtn,-0.84401249
743,Dnah8,-0.129603439
744,Dnai4,-0.84401249
745,Dnaja3,0.184610375
746,Dnajb9,0.184610375
747,Dnase1,0.184610375
748,Dnase1l3,0.184610375
749,Dnase2a,-0.072545341
750,Dnm1l,-0.329701057
751,Dock1,-0.84401249
752,Dock10,-0.586856773
753,Dock11,-0.586856773
754,Dock2,-0.586856773
755,Dock7,-0.84401249
756,Dock8,-0.329701057
757,Dpcr1,"-0.445291194, -0.207625291, -0.657096777"
758,Dpep1,-0.84401249
759,Dpp4,1.727544673
760,Dppa1,-0.329701057
761,Drd2,3.527634687
762,Drd3,3.527634687
763,Drd4,3.527634687
764,Drosha,-0.329701057
765,Dtx1,-0.586856773
766,Dtx3l,-0.072545341
767,Dusp1,-0.586856773
768,Dusp10,0.698921808
769,Dusp22,1.984700389
770,Dusp3,0.441766092
771,Duxbl1,-0.586856773
772,Dyrk3,-0.84401249
773,Dysf,-0.072545341
774,Ear1,-0.586856773
775,Ear10,-0.586856773
776,Ear14,-0.586856773
777,Ear2,-0.586856773
778,Ear3,-0.586856773
779,Ear4,-0.586856773
780,Ear6,-0.586856773
781,Ebi3,-0.84401249
782,Ebp,-0.84401249
783,Ecm1,-0.072545341
784,Ecsit,-0.586856773
785,Eda,-0.586856773
786,Edn1,-0.329701057
787,Edn2,-0.329701057
788,Edn3,-0.329701057
789,Ednra,-0.329701057
790,Ednrb,-0.84401249
791,Eef2,-0.84401249
792,Efna2,-0.84401249
793,Efnb1,-0.329701057
794,Efnb2,-0.329701057
795,Efnb3,-0.329701057
796,Egr1,-0.84401249
797,Egr3,-0.329701057
798,Eif2ak1,-0.84401249
799,Eif2ak2,-0.586856773
800,Eif2ak4,0.956077524
801,Eif2b1,0.441766092
802,Eif2b2,0.441766092
803,Eif2b3,0.441766092
804,Eif2b4,0.441766092
805,Eif2b5,0.441766092
806,Eif6,-0.586856773
807,Elane,0.441766092
808,Elf1,0.441766092
809,Elf4,-0.586856773
810,Elmod2,-0.072545341
811,Emilin1,-0.586856773
812,Eml1,-0.84401249
813,Emp2,-0.586856773
814,Endou,-0.586856773
815,Enpp1,-0.586856773
816,Enpp2,-0.586856773
817,Enpp3,0.698921808
818,Entpd7,-0.072545341
819,Eomes,-0.586856773
820,Ep300,-0.84401249
821,Epas1,-0.84401249
822,Epb42,-0.84401249
823,Epha2,-0.586856773
824,Ephb1,-0.84401249
825,Ephb2,0.184610375
826,Ephb3,-0.84401249
827,Ephb4,-0.329701057
828,Ephb6,-0.072545341
829,Ephx3,"0.238698941, -0.836998786, -0.353793108"
830,Epo,-0.329701057
831,Eprs,-0.586856773
832,Eps8,-0.84401249
833,Epx,-0.586856773
834,Erap1,-0.586856773
835,Erbb2,-0.586856773
836,Ercc1,-0.586856773
837,Ercc2,-0.84401249
838,Ercc6,-0.072545341
839,Ereg,0.441766092
840,Ermap,0.441766092
841,Esco2,-0.84401249
842,Esp18,-0.076988813
843,Esp23,-0.234832691
844,Esp24,-0.076988813
845,Esp31,4.447869006
846,Esp34,6.236766283
847,Esrra,-0.586856773
848,Ets1,-0.586856773
849,Etv2,-0.84401249
850,Etv6,-0.84401249
851,Evi2b,-0.329701057
852,Evl,-0.586856773
853,Exo1,-0.586856773
854,Exoc6,-0.84401249
855,Exosc3,3.013323254
856,Exosc4,-0.586856773
857,Exosc5,-0.586856773
858,Exosc6,3.013323254
859,Ext1,-0.586856773
860,Ezh2,-0.84401249
861,Ezr,0.441766092
862,F11r,-0.84401249
863,F2,-0.586856773
864,F2rl1,1.470388957
865,F7,-0.329701057
866,FGD2,2.591221079
867,FLOT1,-0.933824685
868,Fadd,3.527634687
869,Fam20c,-0.84401249
870,Fam210b,-0.586856773
871,Fam3a,-0.072545341
872,Fanca,-0.586856773
873,Fancc,-0.84401249
874,Fancd2,-0.586856773
875,Farp2,-0.84401249
876,Fas,-0.329701057
877,Fasl,-0.586856773
878,Fasn,-0.84401249
879,Fau,-0.586856773
880,Fbn1,-0.586856773
881,Fbxo38,-0.586856773
882,Fbxo7,-0.586856773
883,Fbxo9,-0.586856773
884,Fbxw7,-0.586856773
885,Fcamr,-0.586856773
886,Fcer1a,3.013323254
887,Fcer1g,3.013323254
888,Fcer2a,3.013323254
889,Fcgr1,3.013323254
890,Fcgr2b,1.727544673
891,Fcgr3,3.013323254
892,Fcgr4,-0.072545341
893,Fcgrt,-0.586856773
894,Fcmr,-0.84401249
895,Fcna,0.441766092
896,Fcnb,0.441766092
897,Fcrl1,-0.84401249
898,Fcrl5,0.441766092
899,Fcrl6,-0.072545341
900,Fcrlb,-0.072545341
901,Fech,-0.84401249
902,Fer,0.956077524
